id,category_id,category,question
0,0,Logistics & Transport,How do I get to the Olympic site from Paris city center?
1,0,Logistics & Transport,What is the entrance procedure for spectators with disabilities?
2,0,Logistics & Transport,Can I bring my wheelchair through security checks?
3,0,Logistics & Transport,Is there a designated area for drop-off and pick-up of visitors with mobility issues?
4,0,Logistics & Transport,Where can I find information on site access for athletes only?
5,0,Logistics & Transport,Do I need to show ID to enter the Olympic site?
6,0,Logistics & Transport,Are there any specific rules for accessing the site during opening/closing ceremonies?
7,0,Logistics & Transport,Can I bring a stroller onto the site?
8,0,Logistics & Transport,Is there an accessible entrance for visitors with mobility impairments?
9,0,Logistics & Transport,How do I report access issues on the Olympic site?
10,0,Logistics & Transport,What is the policy on bringing food and drink into the site?
11,0,Logistics & Transport,Are there any designated areas for people with medical conditions to rest?
12,0,Logistics & Transport,Can I bring a car onto the site and park it if I'm an athlete or official?
13,0,Logistics & Transport,Is there a lost and found for personal belongings left at entrances?
14,0,Logistics & Transport,How do I get help if I'm having trouble accessing the site?
15,0,Logistics & Transport,Are there any specific rules for entering the site during peak hours?
16,0,Logistics & Transport,Can I bring a service animal onto the site?
17,0,Logistics & Transport,What is the procedure for getting a refund on ticket prices due to site access issues?
18,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members?
19,0,Logistics & Transport,How do I report incidents of bullying or harassment at site entrances?
20,0,Logistics & Transport,Are there any specific rules for accessing the site during special events (e
21,0,Logistics & Transport,Can I bring my own mobility aid into the site if I'm not an athlete or official?
22,0,Logistics & Transport,Is there a designated area for athletes to leave their personal belongings while they're competing?
23,0,Logistics & Transport,How do I get help if I'm having trouble accessing the site due to medical conditions?
24,0,Logistics & Transport,Are there any specific rules for entering the site with a group of people?
25,0,Logistics & Transport,Can I bring my own food and drink into the site if I have dietary restrictions?
26,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings?
27,0,Logistics & Transport,"How do I report access issues related to transportation modes (buses, trains, taxis)?"
28,0,Logistics & Transport,Are there any specific rules for accessing the site during holidays or special events?
29,0,Logistics & Transport,Can I bring my own wheelchair into the site if it's not an electric one?
30,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for public transportation?
31,0,Logistics & Transport,How do I get help if I'm having trouble accessing the site due to weather conditions?
32,0,Logistics & Transport,Are there any specific rules for entering the site with a service animal?
33,0,Logistics & Transport,Can I bring my own mobility aid into the site if it's a manual one?
34,0,Logistics & Transport,Is there a designated area for athletes to store their personal belongings while they're competing?
35,0,Logistics & Transport,How do I report incidents of theft or loss at site entrances?
36,0,Logistics & Transport,Are there any specific rules for accessing the site during peak hours (e
37,0,Logistics & Transport,Can I bring my own food and drink into the site if I'm an athlete or official?
38,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while they're waiting for friends/family members?
39,0,Logistics & Transport,How do I get help if I'm having trouble accessing the site due to construction or maintenance?
40,0,Logistics & Transport,Are there any specific rules for entering the site with a group of people (e
41,0,Logistics & Transport,Can I bring my own wheelchair into the site if it's an electric one?
42,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members who are athletes or officials?
43,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels)?"
44,0,Logistics & Transport,Are there any specific rules for accessing the site during holidays or special events (e
45,0,Logistics & Transport,Can I bring my own mobility aid into the site if it's a scooter?
46,0,Logistics & Transport,Is there a designated area for athletes to leave their personal belongings while they're competing in the Olympic village?
47,0,Logistics & Transport,How do I get help if I'm having trouble accessing the site due to language barriers?
48,0,Logistics & Transport,Are there any specific rules for entering the site with a service animal that's not a dog?
49,0,Logistics & Transport,Can I bring my own wheelchair into the site if it's an all-terrain one?
50,0,Logistics & Transport,What are the public transportation options from Paris city center to the Olympic site?
51,0,Logistics & Transport,How do I get to the Olympic site using the metro?
52,0,Logistics & Transport,Are there any special bus routes for spectators with disabilities?
53,0,Logistics & Transport,Can I bring my own mobility aid onto public transportation?
54,0,Logistics & Transport,Is there a designated area for people with medical conditions to rest on public transportation?
55,0,Logistics & Transport,Do I need to show ID to board public transportation to get to the Olympic site?
56,0,Logistics & Transport,Are there any specific rules for using public transportation during peak hours?
57,0,Logistics & Transport,Can I bring my own wheelchair into the bus or train?
58,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings on public transportation?
59,0,Logistics & Transport,How do I report incidents of bullying or harassment on public transportation?
60,0,Logistics & Transport,Are there any special transportation options for athletes and officials?
61,0,Logistics & Transport,Can I bring my own food and drink onto public transportation if I have dietary restrictions?
62,0,Logistics & Transport,Is there a designated area for people with medical conditions to store their personal belongings on public transportation?
63,0,Logistics & Transport,How do I get help if I'm having trouble accessing the Olympic site due to transportation issues?
64,0,Logistics & Transport,Are there any specific rules for using public transportation during special events (e
65,0,Logistics & Transport,Can I bring my own mobility aid onto the train or bus if it's not an electric one?
66,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members on public transportation?
67,0,Logistics & Transport,How do I report incidents of theft or loss on public transportation?
68,0,Logistics & Transport,Are there any specific rules for using public transportation during peak hours (e
69,0,Logistics & Transport,Can I bring my own wheelchair into the bus or train if it's a manual one?
70,0,Logistics & Transport,Is there a designated area for people with medical conditions to rest on public transportation while waiting for friends/family members?
71,0,Logistics & Transport,How do I get help if I'm having trouble accessing the Olympic site due to language barriers?
72,0,Logistics & Transport,Are there any special transportation options for spectators with disabilities?
73,0,Logistics & Transport,Can I bring my own food and drink onto public transportation if I'm an athlete or official?
74,0,Logistics & Transport,Is there a designated area for people with medical conditions to store their personal belongings on public transportation while waiting for friends/family members?
75,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when using public transportation?"
76,0,Logistics & Transport,Are there any specific rules for using public transportation during holidays or special events (e
77,0,Logistics & Transport,Can I bring my own mobility aid onto the train or bus if it's an all-terrain one?
78,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings on public transportation while waiting for friends/family members who are athletes or officials?
79,0,Logistics & Transport,How do I get help if I'm having trouble accessing the Olympic site due to weather conditions?
80,0,Logistics & Transport,Are there any special transportation options for people with medical conditions?
81,0,Logistics & Transport,Can I bring my own wheelchair into the bus or train if it's a scooter?
82,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members who are athletes or officials on public transportation?
83,0,Logistics & Transport,How do I report incidents of bullying or harassment on public transportation when traveling with friends/family members?
84,0,Logistics & Transport,Are there any specific rules for using public transportation during peak hours (e
85,0,Logistics & Transport,Can I bring my own food and drink onto public transportation if I'm an athlete or official who has dietary restrictions?
86,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings on public transportation while waiting for friends/family members who are athletes or officials?
87,0,Logistics & Transport,How do I get help if I'm having trouble accessing the Olympic site due to language barriers when using public transportation?
88,0,Logistics & Transport,Are there any special transportation options for people with medical conditions who have mobility aids?
89,0,Logistics & Transport,Can I bring my own wheelchair into the bus or train if it's an electric one?
90,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members on public transportation while waiting for their own friends/family members?
91,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when using public transportation during special events (e"
92,0,Logistics & Transport,Are there any specific rules for using public transportation during holidays or special events (e
93,0,Logistics & Transport,Can I bring my own mobility aid onto the train or bus if it's not an all-terrain one?
94,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings on public transportation while waiting for friends/family members who are athletes or officials?
95,0,Logistics & Transport,How do I get help if I'm having trouble accessing the Olympic site due to construction or maintenance when using public transportation?
96,0,Logistics & Transport,Are there any special transportation options for people with medical conditions who have mobility aids that are not electric?
97,0,Logistics & Transport,Can I bring my own wheelchair into the bus or train if it's a manual one that is not an all-terrain one?
98,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members on public transportation while waiting for their own friends/family members who are athletes or officials?
99,0,Logistics & Transport,How do I report incidents of theft or loss on public transportation when traveling with friends/family members?
100,0,Logistics & Transport,Are there any designated parking areas for spectators with disabilities at the Olympic site?
101,0,Logistics & Transport,Can I bring my own mobility aid into the parking area?
102,0,Logistics & Transport,Is there a designated area for people with medical conditions to rest while waiting in line to get into the parking area?
103,0,Logistics & Transport,Do I need to show ID to park at the Olympic site if I'm a spectator with disabilities?
104,0,Logistics & Transport,Are there any specific rules for using parking during peak hours (e
105,0,Logistics & Transport,Can I bring my own wheelchair into the parking area if it's not an electric one?
106,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while waiting in line to get into the parking area?
107,0,Logistics & Transport,How do I report incidents of bullying or harassment while waiting in line to get into the parking area?
108,0,Logistics & Transport,Are there any special parking options for athletes and officials?
109,0,Logistics & Transport,Can I bring my own food and drink into the parking area if I have dietary restrictions?
110,0,Logistics & Transport,Is there a designated area for people with medical conditions to store their personal belongings while waiting in line to get into the parking area?
111,0,Logistics & Transport,How do I report incidents of theft or loss while waiting in line to get into the parking area?
112,0,Logistics & Transport,Are there any specific rules for using parking during special events (e
113,0,Logistics & Transport,Can I bring my own mobility aid into the parking area if it's an all-terrain one?
114,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members while waiting in line to get into the parking area?
115,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when parking at the Olympic site?"
116,0,Logistics & Transport,Are there any special parking options for people with medical conditions who have mobility aids?
117,0,Logistics & Transport,Can I bring my own wheelchair into the parking area if it's an electric one?
118,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while waiting in line to get into the parking area?
119,0,Logistics & Transport,How do I report incidents of bullying or harassment while waiting in line to get into the parking area?
120,0,Logistics & Transport,Are there any specific rules for using parking during holidays or special events (e
121,0,Logistics & Transport,Can I bring my own mobility aid into the parking area if it's not a scooter?
122,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members while waiting in line to get into the parking area?
123,0,Logistics & Transport,How do I report incidents of theft or loss while waiting in line to get into the parking area?
124,0,Logistics & Transport,Are there any special parking options for people with medical conditions who have mobility aids that are not electric?
125,0,Logistics & Transport,Can I bring my own wheelchair into the parking area if it's a manual one?
126,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while waiting in line to get into the parking area?
127,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when using public transportation during special events (e"
128,0,Logistics & Transport,Are there any specific rules for using parking during holidays or special events (e
129,0,Logistics & Transport,Can I bring my own mobility aid into the parking area if it's not an all-terrain one that is not electric?
130,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members while waiting in line to get into the parking area?
131,0,Logistics & Transport,How do I report incidents of theft or loss on public transportation when traveling with friends/family members during special events (e
132,0,Logistics & Transport,Are there any special parking options for people with medical conditions who have mobility aids that are not electric and are not scooters?
133,0,Logistics & Transport,Can I bring my own wheelchair into the parking area if it's a manual one that is not an all-terrain one?
134,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while waiting in line to get into the parking area?
135,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when using public transportation during holidays or special events (e"
136,0,Logistics & Transport,Are there any specific rules for using parking during construction or maintenance?
137,0,Logistics & Transport,Can I bring my own mobility aid into the parking area if it's not an electric one and is not a scooter?
138,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members while waiting in line to get into the parking area?
139,0,Logistics & Transport,How do I report incidents of theft or loss on public transportation when traveling with friends/family members during construction or maintenance?
140,0,Logistics & Transport,Are there any special parking options for people with medical conditions who have mobility aids that are not electric and are not scooters and are not all-terrain ones?
141,0,Logistics & Transport,Can I bring my own wheelchair into the parking area if it's a manual one that is not an all-terrain one and is not electric?
142,0,Logistics & Transport,Is there a designated area for spectators with disabilities to store their personal belongings while waiting in line to get into the parking area?
143,0,Logistics & Transport,"How do I report access issues related to accommodations (hotels, hostels) when using public transportation during construction or maintenance?"
144,0,Logistics & Transport,Are there any specific rules for using parking during holidays or special events (e
145,0,Logistics & Transport,Can I bring my own mobility aid into the parking area if it's not an electric one and is not a scooter and is not all-terrain?
146,0,Logistics & Transport,Is there a designated area for spectators with disabilities to wait for friends/family members while waiting in line to get into the parking area?
147,0,Logistics & Transport,How do I report incidents of theft or loss on public transportation when traveling with friends/family members during holidays or special events (e
148,0,Logistics & Transport,Are there any special parking options for people with medical conditions who have mobility aids that are not electric and are not scooters and are not all-terrain ones?
